TIC,Classification,Reliability,Confidence_percent,Period_days,Depth_percent,Duration_hours,SNR,BLS_Power,Estimated_Transit_Count,Observation_Baseline_Days,Total_Data_Points,Top_Candidate_Periods
TIC 410214986,Likely Exoplanet,High,100.0,27.1737,0.8452,4.82,49.1,0.0017,104,2824.72,708085,"[27.1737, 27.1717, 27.1757, 29.4139, 29.3628]"
TIC 100100827,Likely Exoplanet,High,100.0,0.9425,0.2157,2.88,58.78,0.0053,2735,2577.75,427913,"[0.9425, 0.9406, 0.9366, 1.8827, 0.9386]"
TIC 25155310,Likely Exoplanet,High,100.0,3.2889,0.164,3.1,132.53,0.0066,827,2719.1,1898028,"[3.2889, 6.5774, 4.9332, 9.8659, 26.3103]"
TIC 199716496,Likely Eclipsing Binary,High,86.94,3.1375,19.3154,1.8,129.56,52.3436,630,1977.97,577411,"[3.1375, 7.3209, 3.6606, 6.7977, 11.5042]"
--//TIC 320004517,Likely Exoplanet,High,75.12,17.4715,0.0435,3.96,25.99,0.0,127,2222.62,314621,"[17.4715, 28.6862, 29.8466, 29.8348, 28.6803]"
--Eclipsing Binary//TIC 435447013,Likely Exoplanet,High,100.0,0.8324,0.4195,4.82,56.81,0.0148,66,55.19,35301,"[0.8324, 0.8344, 0.8304, 0.8363, 1.6643]"
TIC 199716496,Likely Eclipsing Binary,High,86.94,3.1375,19.3569,1.8,130.12,52.9811,630,1977.97,583626,"[3.1375, 7.3209, 3.6606, 6.7977, 11.5042]"
"TIC 272074664,",Likely Eclipsing Binary,High,88.88,10.4756,9.6569,4.82,119.32,1.618,109,1139.41,85004,"[10.4756, 10.4776, 20.9527, 20.9508, 5.238]"
"TIC 261136679,",Likely Exoplanet,High,75.16,18.803,0.0109,2.45,28.81,0.0,137,2580.28,2029644,"[18.803, 25.0712, 9.4017, 29.347, 29.3372]"
"TIC 232608943,",Likely Exoplanet,High,93.31,27.5631,0.1393,4.61,21.7,0.0006,46,1270.67,387431,"[27.5631, 27.5651, 27.5612, 27.5671, 20.6734]"
"TIC 261136679,",Likely Exoplanet,High,75.16,18.803,0.0109,2.45,28.81,0.0,137,2580.28,2029644,"[18.803, 25.0712, 9.4017, 29.347, 29.3372]"
"TIC 25155310,",Likely Exoplanet,High,100.0,3.2889,0.164,3.1,132.53,0.0066,827,2719.1,1898028,"[3.2889, 6.5774, 4.9332, 9.8659, 26.3103]"
TIC 307210830,Likely Exoplanet,High,84.19,1.8453,0.0399,1.8,49.68,0.0003,1458,2690.26,418451,"[1.8453, 7.4507, 25.8343, 18.4529, 9.2267]"
TIC 272074664,Likely Eclipsing Binary,High,88.88,10.4756,9.6569,4.82,119.32,1.618,109,1139.41,85004,"[10.4756, 10.4776, 20.9527, 20.9508, 5.238]"
TIC 232608943,Variable Star / False Positive (Likely Systematic/Activity),High,93.31,27.5631,0.1393,4.61,21.7,0.0006,46,1270.67,387431,"[27.5631, 27.5651, 27.5612, 27.5671, 20.6734]"
--//TIC 435447013,Variable Star / False Positive (Likely Systematic/Activity),High,100.0,0.8324,0.4195,4.82,56.81,0.0148,66,55.19,35301,"[0.8324, 0.8344, 0.8304, 0.8363, 1.6643]"
--//TIC 435447013,Likely Exoplanet,High,100.0,0.8324,0.4195,4.82,56.81,0.0148,66,55.19,35301,"[0.8324, 0.8344, 0.8304, 0.8363, 1.6643]"
TIC 272074664,Likely Eclipsing Binary,High,88.88,10.4756,9.6569,4.82,119.32,1.618,109,1139.41,85004,"[10.4756, 10.4776, 20.9527, 20.9508, 5.238]"
TIC 232608943,Variable Star / False Positive (Likely Systematic/Activity),High,93.31,27.5631,0.1393,4.61,21.7,0.0006,46,1270.67,387431,"[27.5631, 27.5651, 27.5612, 27.5671, 20.6734]"
TIC 261136679,Likely Exoplanet,High,75.35,18.803,0.02,2.88,45.61,0.0,137,2580.26,360703,"[18.803, 25.0712, 9.4017, 12.5348, 2.0892]"
